Scenario,Vehicle,Income,Performance,Liquidity & Diversification,Financing Resilience,Implementation & Transparency,Total Score
Base,Listed REIT ETF (XLRE),56.56249999999999,50.97500000000001,77.28051587301587,56.749999999999986,58.64495064935065,59.94784577200578
Base,Direct Residential Property,58.0,50.0,25.0,51.199999999999996,35.0,44.65
Base,Private / Leveraged Real Estate,55.0,48.0,18.0,42.70614583333332,22.0,38.17653645833333
